DATE,BRAR05M647NCEN
2009-01-01,399243
2009-02-01,399347
2009-03-01,403074
2009-04-01,406295
2009-05-01,415103
2009-06-01,425684
2009-07-01,431667
2009-08-01,437124
2009-09-01,445940
2009-10-01,450947
2009-11-01,455393
2009-12-01,464267
2010-01-01,462706
2010-02-01,460754
2010-03-01,464237
2010-04-01,464451
2010-05-01,466729
2010-06-01,471211
2010-07-01,475025
2010-08-01,480144
2010-09-01,483309
2010-10-01,483223
2010-11-01,487786
2010-12-01,489295
2011-01-01,488294
2011-02-01,482697
2011-03-01,486246
2011-04-01,481702
2011-05-01,480605
2011-06-01,484651
2011-07-01,492080
2011-08-01,490744
2011-09-01,490090
2011-10-01,501876
2011-11-01,504060
2011-12-01,507466
2012-01-01,505812
2012-02-01,501713
2012-03-01,500233
2012-04-01,496399
2012-05-01,497114
2012-06-01,500190
2012-07-01,502287
2012-08-01,504553
2012-09-01,503794
2012-10-01,508583
2012-11-01,509224
2012-12-01,509349
2013-01-01,508572
2013-02-01,503375
2013-03-01,502491
2013-04-01,500689
2013-05-01,499603
2013-06-01,502070
2013-07-01,502723
2013-08-01,504844
2013-09-01,503928
2013-10-01,504541
2013-11-01,501124
2013-12-01,496671
2014-01-01,496935
2014-02-01,492663
2014-03-01,488926
2014-04-01,486651
2014-05-01,488404
2014-06-01,487710
2014-07-01,486465
2014-08-01,487174
2014-09-01,486312
2014-10-01,486130
2014-11-01,481749
2014-12-01,480252
2015-01-01,476089
2015-02-01,475704
2015-03-01,466445
2015-04-01,461999
2015-05-01,459893
2015-06-01,461080
2015-07-01,461166
2015-08-01,458309
2015-09-01,458032
2015-10-01,457380
2015-11-01,453286
2015-12-01,451207
2016-01-01,443941
2016-02-01,441898
2016-03-01,434865
2016-04-01,418002
2016-05-01,407820
2016-06-01,401790
2016-07-01,401890
2016-08-01,401205
2016-09-01,399538
2016-10-01,403376
2016-11-01,399839
2016-12-01,397802
2017-01-01,393349
2017-02-01,389577
2017-03-01,385208
2017-04-01,378446
2017-05-01,380420
2017-06-01,382515
2017-07-01,377768
2017-08-01,386551
2017-09-01,385494
2017-10-01,386421
2017-11-01,383740
2017-12-01,382704
2018-01-01,378791
2018-02-01,377717
2018-03-01,373710
2018-04-01,372292
2018-05-01,363143
2018-06-01,362454
2018-07-01,363548
2018-08-01,362440
2018-09-01,362454
2018-10-01,363186
2018-11-01,365559
2018-12-01,363631
2019-01-01,360533
2019-02-01,363301
2019-03-01,358305
2019-04-01,347080
2019-05-01,344512
2019-06-01,345284
2019-07-01,346819
2019-08-01,349592
2019-09-01,351199
2019-10-01,350447
2019-11-01,348052
2019-12-01,348050
