"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2012"	"2012"	"Jan., 2012"	"2012/01"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Baxter County, AR"	"05005"	"2014"	"2014"	"Feb., 2014"	"2014/02"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2009"	"2009"	"Jan., 2009"	"2009/01"	15	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2009"	"2009"	"May, 2009"	"2009/05"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2009"	"2009"	"Sep., 2009"	"2009/09"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2009"	"2009"	"Oct., 2009"	"2009/10"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2009"	"2009"	"Dec., 2009"	"2009/12"	11	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Jan., 2010"	"2010/01"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Mar., 2010"	"2010/03"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Apr., 2010"	"2010/04"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Sep., 2010"	"2010/09"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Oct., 2010"	"2010/10"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Nov., 2010"	"2010/11"	13	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2010"	"2010"	"Dec., 2010"	"2010/12"	16	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"Jan., 2011"	"2011/01"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"Feb., 2011"	"2011/02"	10	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"Mar., 2011"	"2011/03"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"Apr., 2011"	"2011/04"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"May, 2011"	"2011/05"	12	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"Aug., 2011"	"2011/08"	14	Not Applicable	Not Applicable
	"Arkansas"	"05"	"Benton County, AR"	"05007"	"2011"	"2011"	"Sep., 2011"	"2011/09"	13	Not Applicable	Not Applicable
