State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,,,,,,
46,113,SD,Shannon County,"7,734","6,770","8,698",55.1,48.2,62.0,"2,864","2,374","3,354",53.4,44.3,62.5,"1,901","1,544","2,258",50.9,41.3,60.5,"28,512","25,672","31,352",,,,,,
46,137,SD,Ziebach County,"1,376","1,118","1,634",48.7,39.6,57.8,570,425,715,55.4,41.4,69.4,318,221,415,38.8,27.0,50.6,"30,465","27,332","33,598",,,,,,
28,053,MS,Humphreys County,"4,256","3,600","4,912",48.3,40.9,55.7,"1,573","1,286","1,860",64.7,52.9,76.5,"1,092",862,"1,322",63.2,49.9,76.5,"22,599","20,357","24,841",,,,,,
28,051,MS,Holmes County,"8,126","7,137","9,115",45.7,40.1,51.3,"3,129","2,678","3,580",62.1,53.1,71.1,"2,152","1,781","2,523",60.8,50.3,71.3,"22,674","20,651","24,697",,,,,,
13,309,GA,Wheeler County,"2,402","1,907","2,897",45.0,35.7,54.3,606,481,731,45.6,36.2,55.0,408,313,503,41.5,31.8,51.2,"30,779","27,662","33,896",,,,,,
22,035,LA,East Carroll Parish,"2,889","2,290","3,488",44.8,35.5,54.1,"1,059",834,"1,284",57.7,45.5,69.9,743,571,915,57.4,44.1,70.7,"26,781","24,206","29,356",,,,,,
28,083,MS,Leflore County,"13,273","11,718","14,828",44.8,39.6,50.0,"4,760","4,037","5,483",56.2,47.7,64.7,"3,371","2,826","3,916",55.8,46.8,64.8,"24,704","22,439","26,969",,,,,,
46,121,SD,Todd County,"4,373","3,672","5,074",44.0,36.9,51.1,"2,042","1,629","2,455",51.1,40.8,61.4,"1,321","1,015","1,627",48.9,37.6,60.2,"30,549","28,277","32,821",,,,,,
28,119,MS,Quitman County,"3,312","2,757","3,867",43.5,36.2,50.8,"1,122",908,"1,336",58.3,47.2,69.4,802,636,968,57.4,45.5,69.3,"26,100","23,644","28,556",,,,,,
08,025,CO,Crowley County,"1,294",994,"1,594",43.2,33.2,53.2,260,201,319,38.5,29.7,47.3,181,135,227,36.9,27.5,46.3,"31,477","28,783","34,171",,,,,,
48,489,TX,Willacy County,"8,005","6,716","9,294",43.1,36.2,50.0,"2,726","2,231","3,221",49.8,40.8,58.8,"2,024","1,637","2,411",50.1,40.5,59.7,"28,945","26,050","31,840",,,,,,
46,031,SD,Corson County,"1,808","1,530","2,086",43.0,36.4,49.6,755,603,907,53.4,42.7,64.1,488,374,602,46.7,35.8,57.6,"31,418","28,324","34,512",,,,,,
21,051,KY,Clay County,"8,193","6,719","9,667",42.8,35.1,50.5,"2,254","1,792","2,716",52.5,41.7,63.3,"1,528","1,166","1,890",50.8,38.7,62.9,"24,173","22,044","26,302",,,,,,
28,055,MS,Issaquena County,464,360,568,42.5,33.0,52.0,106,82,130,56.4,43.6,69.2,78,58,98,56.5,42.2,70.8,"31,254","28,152","34,356",,,,,,
45,005,SC,Allendale County,"3,616","2,857","4,375",42.4,33.5,51.3,"1,084",861,"1,307",56.1,44.6,67.6,757,582,932,53.3,41.0,65.6,"25,753","23,165","28,341",,,,,,
21,189,KY,Owsley County,"1,912","1,511","2,313",42.0,33.2,50.8,542,416,668,55.0,42.2,67.8,376,277,475,53.5,39.4,67.6,"22,715","20,474","24,956",,,,,,
28,163,MS,Yazoo County,"9,804","8,433","11,175",41.8,36.0,47.6,"3,436","2,893","3,979",51.4,43.3,59.5,"2,382","1,963","2,801",49.6,40.9,58.3,"28,757","25,932","31,582",,,,,,
05,077,AR,Lee County,"3,391","2,708","4,074",41.1,32.8,49.4,"1,020",803,"1,237",51.7,40.7,62.7,679,512,846,47.0,35.5,58.5,"27,068","24,337","29,799",,,,,,
46,017,SD,Buffalo County,824,670,978,41.0,33.3,48.7,376,292,460,47.5,36.9,58.1,249,185,313,47.0,34.9,59.1,"21,572","19,454","23,690",,,,,,
28,021,MS,Claiborne County,"3,323","2,699","3,947",40.9,33.2,48.6,"1,057",837,"1,277",52.1,41.3,62.9,760,586,934,52.1,40.2,64.0,"25,438","22,901","27,975",,,,,,
