State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound
51,610,VA,Falls Church city,403,305,501,3.0,2.3,3.7,118,87,149,3.4,2.5,4.3,73,51,95,2.9,2.0,3.8,"117,452","105,537","129,367"
08,035,CO,Douglas County,"11,004","8,859","13,149",3.6,2.9,4.3,"3,390","2,628","4,152",3.8,2.9,4.7,"2,323","1,751","2,895",3.4,2.6,4.2,"105,192","100,947","109,437"
51,107,VA,Loudoun County,"13,343","11,101","15,585",3.8,3.2,4.4,"4,231","3,298","5,164",4.1,3.2,5.0,"2,780","2,052","3,508",3.7,2.7,4.7,"117,680","113,875","121,485"
35,028,NM,Los Alamos County,715,554,876,4.0,3.1,4.9,181,139,223,4.4,3.4,5.4,125,92,158,3.9,2.9,4.9,"110,930","100,717","121,143"
34,019,NJ,Hunterdon County,"5,068","3,977","6,159",4.1,3.2,5.0,"1,144",889,"1,399",4.2,3.3,5.1,796,590,"1,002",3.6,2.7,4.5,"107,203","100,886","113,520"
02,230,AK,Skagway Municipality,42,33,51,4.2,3.3,5.1,7,5,9,5.6,4.0,7.2,5,3,7,6.8,4.7,8.9,"63,930","57,432","70,428"
46,083,SD,Lincoln County,"2,126","1,641","2,611",4.3,3.3,5.3,754,567,941,5.2,3.9,6.5,500,361,639,4.9,3.5,6.3,"78,567","73,473","83,661"
17,133,IL,Monroe County,"1,617","1,259","1,975",4.9,3.8,6.0,449,351,547,5.8,4.5,7.1,284,214,354,4.7,3.5,5.9,"71,604","66,592","76,616"
27,019,MN,Carver County,"4,605","3,726","5,484",4.9,4.0,5.8,"1,387","1,072","1,702",5.2,4.0,6.4,931,699,"1,163",4.5,3.4,5.6,"86,759","80,750","92,768"
34,027,NJ,Morris County,"23,871","19,658","28,084",4.9,4.0,5.8,"6,293","5,011","7,575",5.6,4.5,6.7,"4,349","3,340","5,358",5.0,3.8,6.2,"99,950","97,710","102,190"
24,027,MD,Howard County,"16,071","12,758","19,384",5.3,4.2,6.4,"5,021","3,905","6,137",6.7,5.2,8.2,"3,268","2,407","4,129",5.7,4.2,7.2,"108,503","104,422","112,584"
02,068,AK,Denali Borough,100,77,123,5.4,4.1,6.7,15,11,19,3.9,2.8,5.0,10,7,13,3.5,2.3,4.7,"68,103","61,423","74,783"
49,029,UT,Morgan County,547,422,672,5.4,4.2,6.6,222,169,275,6.3,4.8,7.8,156,114,198,5.9,4.3,7.5,"83,496","76,467","90,525"
18,057,IN,Hamilton County,"16,329","13,878","18,780",5.5,4.7,6.3,"5,224","4,262","6,186",6.1,5.0,7.2,"3,644","2,941","4,347",5.7,4.6,6.8,"84,022","80,287","87,757"
47,187,TN,Williamson County,"10,919","8,763","13,075",5.5,4.4,6.6,"3,741","2,995","4,487",6.7,5.4,8.0,"2,650","2,067","3,233",6.0,4.7,7.3,"93,241","87,142","99,340"
51,735,VA,Poquoson city,664,516,812,5.5,4.3,6.7,167,127,207,6.3,4.8,7.8,114,83,145,5.2,3.8,6.6,"82,815","76,526","89,104"
39,041,OH,Delaware County,"10,290","8,559","12,021",5.6,4.7,6.5,"3,290","2,718","3,862",6.4,5.3,7.5,"2,313","1,887","2,739",5.9,4.8,7.0,"89,016","83,127","94,905"
51,085,VA,Hanover County,"5,598","4,367","6,829",5.6,4.4,6.8,"1,581","1,220","1,942",6.8,5.2,8.4,"1,096",804,"1,388",5.9,4.3,7.5,"77,316","72,094","82,538"
34,035,NJ,Somerset County,"18,582","15,235","21,929",5.7,4.7,6.7,"5,120","4,054","6,186",6.6,5.2,8.0,"3,697","2,876","4,518",6.3,4.9,7.7,"96,947","92,989","100,905"
