"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Arkansas"	"05"	"2009"	"2009"	"Jan., 2009"	"2009/01"	234	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Feb., 2009"	"2009/02"	230	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Mar., 2009"	"2009/03"	262	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Apr., 2009"	"2009/04"	217	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"May, 2009"	"2009/05"	250	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Jun., 2009"	"2009/06"	195	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Jul., 2009"	"2009/07"	224	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Aug., 2009"	"2009/08"	209	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Sep., 2009"	"2009/09"	236	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Oct., 2009"	"2009/10"	237	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Nov., 2009"	"2009/11"	231	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2009"	"2009"	"Dec., 2009"	"2009/12"	258	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2009"	"2009"			2783	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Jan., 2010"	"2010/01"	248	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Feb., 2010"	"2010/02"	198	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Mar., 2010"	"2010/03"	259	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Apr., 2010"	"2010/04"	236	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"May, 2010"	"2010/05"	227	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Jun., 2010"	"2010/06"	220	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Jul., 2010"	"2010/07"	223	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Aug., 2010"	"2010/08"	221	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Sep., 2010"	"2010/09"	207	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Oct., 2010"	"2010/10"	233	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Nov., 2010"	"2010/11"	218	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2010"	"2010"	"Dec., 2010"	"2010/12"	256	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2010"	"2010"			2746	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Jan., 2011"	"2011/01"	228	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Feb., 2011"	"2011/02"	223	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Mar., 2011"	"2011/03"	250	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Apr., 2011"	"2011/04"	220	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"May, 2011"	"2011/05"	255	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Jun., 2011"	"2011/06"	220	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Jul., 2011"	"2011/07"	211	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Aug., 2011"	"2011/08"	247	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Sep., 2011"	"2011/09"	213	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Oct., 2011"	"2011/10"	226	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Nov., 2011"	"2011/11"	234	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2011"	"2011"	"Dec., 2011"	"2011/12"	242	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2011"	"2011"			2769	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Jan., 2012"	"2012/01"	239	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Feb., 2012"	"2012/02"	250	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Mar., 2012"	"2012/03"	240	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Apr., 2012"	"2012/04"	240	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"May, 2012"	"2012/05"	236	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Jun., 2012"	"2012/06"	227	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Jul., 2012"	"2012/07"	255	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Aug., 2012"	"2012/08"	232	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Sep., 2012"	"2012/09"	254	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Oct., 2012"	"2012/10"	209	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Nov., 2012"	"2012/11"	219	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2012"	"2012"	"Dec., 2012"	"2012/12"	257	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2012"	"2012"			2858	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Jan., 2013"	"2013/01"	259	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Feb., 2013"	"2013/02"	219	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Mar., 2013"	"2013/03"	259	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Apr., 2013"	"2013/04"	235	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"May, 2013"	"2013/05"	221	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Jun., 2013"	"2013/06"	219	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Jul., 2013"	"2013/07"	216	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Aug., 2013"	"2013/08"	206	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Sep., 2013"	"2013/09"	226	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Oct., 2013"	"2013/10"	250	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Nov., 2013"	"2013/11"	227	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2013"	"2013"	"Dec., 2013"	"2013/12"	263	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2013"	"2013"			2800	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Jan., 2014"	"2014/01"	261	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Feb., 2014"	"2014/02"	242	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Mar., 2014"	"2014/03"	255	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Apr., 2014"	"2014/04"	225	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"May, 2014"	"2014/05"	232	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Jun., 2014"	"2014/06"	261	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Jul., 2014"	"2014/07"	249	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Aug., 2014"	"2014/08"	259	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Sep., 2014"	"2014/09"	234	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Oct., 2014"	"2014/10"	239	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Nov., 2014"	"2014/11"	261	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2014"	"2014"	"Dec., 2014"	"2014/12"	264	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2014"	"2014"			2982	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Jan., 2015"	"2015/01"	289	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Feb., 2015"	"2015/02"	242	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Mar., 2015"	"2015/03"	256	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Apr., 2015"	"2015/04"	239	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"May, 2015"	"2015/05"	264	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Jun., 2015"	"2015/06"	233	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Jul., 2015"	"2015/07"	229	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Aug., 2015"	"2015/08"	242	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Sep., 2015"	"2015/09"	236	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Oct., 2015"	"2015/10"	250	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Nov., 2015"	"2015/11"	253	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2015"	"2015"	"Dec., 2015"	"2015/12"	252	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2015"	"2015"			2985	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Jan., 2016"	"2016/01"	252	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Feb., 2016"	"2016/02"	247	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Mar., 2016"	"2016/03"	254	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Apr., 2016"	"2016/04"	247	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"May, 2016"	"2016/05"	259	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Jun., 2016"	"2016/06"	215	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Jul., 2016"	"2016/07"	223	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Aug., 2016"	"2016/08"	237	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Sep., 2016"	"2016/09"	205	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Oct., 2016"	"2016/10"	242	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Nov., 2016"	"2016/11"	247	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2016"	"2016"	"Dec., 2016"	"2016/12"	273	Not Applicable	Not Applicable
"Total"	"Arkansas"	"05"	"2016"	"2016"			2901	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Jan., 2017"	"2017/01"	245	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Feb., 2017"	"2017/02"	248	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Mar., 2017"	"2017/03"	274	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Apr., 2017"	"2017/04"	251	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"May, 2017"	"2017/05"	280	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Jun., 2017"	"2017/06"	256	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Jul., 2017"	"2017/07"	230	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Aug., 2017"	"2017/08"	245	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Sep., 2017"	"2017/09"	230	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Oct., 2017"	"2017/10"	260	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Nov., 2017"	"2017/11"	230	Not Applicable	Not Applicable
	"Arkansas"	"05"	"2017"	"2017"	"Dec., 2017"	"2017/12"	290	Not Applicable	Not Applicable
